Domain,MCP_URL
amass.tech,https://mcp.amass.tech/.well-known/mcp-server
ambarpartners.com,https://mcp.ambarpartners.com/.well-known/mcp-server
amentum.io,https://mcp.amentum.io/.well-known/mcp-server
amityage.com,https://mcp.amityage.com/.well-known/mcp-server
ammp.io,https://mcp.ammp.io/.well-known/mcp-server
amove.io,https://mcp.amove.io/.well-known/mcp-server
amperity.com,https://mcp.amperity.com/.well-known/mcp-server
amplifier.com,https://mcp.amplifier.com/.well-known/mcp-server
amplitude.com,https://mcp.amplitude.com/.well-known/mcp-server
ams-osram.com,https://mcp.ams-osram.com/.well-known/mcp-server
amt.ai,https://mcp.amt.ai/.well-known/mcp-server
anca.com,https://mcp.anca.com/.well-known/mcp-server
and.com,https://mcp.and.com/.well-known/mcp-server
andcapitalventures.com,https://mcp.andcapitalventures.com/.well-known/mcp-server
andiron.ai,https://mcp.andiron.ai/.well-known/mcp-server
ando.so,https://mcp.ando.so/.well-known/mcp-server
aneon.at,https://mcp.aneon.at/.well-known/mcp-server
aniamanagement.com,https://mcp.aniamanagement.com/.well-known/mcp-server
animaj.com,https://mcp.animaj.com/.well-known/mcp-server
anomalycapital.com,https://mcp.anomalycapital.com/.well-known/mcp-server
antavo.com,https://mcp.antavo.com/.well-known/mcp-server
antbuddy.com,https://mcp.antbuddy.com/.well-known/mcp-server
antimetal.com,https://mcp.antimetal.com/.well-known/mcp-server
antler.co,https://mcp.antler.co/.well-known/mcp-server
antsomi.com,https://mcp.antsomi.com/.well-known/mcp-server
anyonehome.com,https://mcp.anyonehome.com/.well-known/mcp-server
apaleo.com,https://mcp.apaleo.com/.well-known/mcp-server
aparti.ai,https://mcp.aparti.ai/.well-known/mcp-server
aperture.london,https://mcp.aperture.london/.well-known/mcp-server
api-and-you.com,https://mcp.api-and-you.com/.well-known/mcp-server
apicbase.com,https://mcp.apicbase.com/.well-known/mcp-server
apify.com,https://mcp.apify.com/.well-known/mcp-server
apolline.art,https://mcp.apolline.art/.well-known/mcp-server
apono.io,https://mcp.apono.io/.well-known/mcp-server
appcircle.io,https://mcp.appcircle.io/.well-known/mcp-server
appcues.com,https://mcp.appcues.com/.well-known/mcp-server
appflow.ai,https://mcp.appflow.ai/.well-known/mcp-server
appliedmetatheory.org,https://mcp.appliedmetatheory.org/.well-known/mcp-server
